id	message
INPUT_METHOD_INVALID	 method invoked invalid in  current schema
INPUT_REQUEST_TOO_LONG	 input request terlalu panjang
INPUT_TEXT_EMPTY	 Spesifik text kosong
INPUT_TEXT_TOO_LONG	 Spesifik text terlalu panjang.
INPUT_USER_DEACTIVATED	 target user telah deleted/deactivated
INVITES_TOO_MUCH	 Nomor maximum dari per-folder undangan Spesifik oleh  `chatlist_invites_limit_default`/`chatlist_invites_limit_premium` [client configuration parameters &raquo;](/api/config#chatlist-invites-limit-default) telah tercapai.
INVITE_FORBIDDEN_WITH_JOINAS	Jika pengguna telah menyamar bergabung panggilan group sebagai channel, y tidak bisa invite or users to  group call karena that would cause deanonymization, karena  invite would dikirim using  original user ID, not  anonymized channel ID
INVITE_HASH_EMPTY	 Undangan hash kosong
INVITE_HASH_EXPIRED	 undangan chat link tidak valid
INVITE_HASH_INVALID	 Undangan link hash invalid
INVITE_REQUEST_SENT	 request untuk bergabung chat ini or channel telah successfully sent
INVITE_REVOKED_MISSING	 aksi memerlukan undangan chat link untuk direvoked first
INVITE_SLUG_EMPTY	 invite slug kosong
INVITE_SLUG_EXPIRED	 invite slug kadaluarsa
INVOICE_PAYLOAD_INVALID	 Spesifik invoice payload invalid
JOIN_AS_PEER_INVALID	 Spesifik peer tidak bisa digunakan untuk bergabung panggilan group
LANG_CODE_INVALID	 Spesifik language code invalid
LANG_CODE_NOT_SUPPORTED	 Spesifik language code tidak support
LANG_PACK_INVALID	  language pack invalid
LASTNAME_INVALID	 last name invalid
LIMIT_INVALID	 limit parameter invalid
LINK_NOT_MODIFIED	 chat link tidak dimodifikasi karena Kamu mencoba to link to  same target
LOCATION_INVALID	 file location invalid
MAX_DATE_INVALID	 Spesifik maximum date invalid
MAX_ID_INVALID	 max_id parameter invalid
MAX_QTS_INVALID	  QTS invalid
MD5_CHECKSUM_INVALID	 file's checksum did not match  md5_checksum parameter
MEDIA_CAPTION_TOO_LONG	 media caption terlalu panjang
MEDIA_EMPTY	 media Kamu mencoba mengirim invalid
MEDIA_FILE_INVALID	  media file invalid
MEDIA_GROUPED_INVALID	Kamu mencoba mengirim media of different types in an album
MEDIA_INVALID	 media invalid
MEDIA_NEW_INVALID	 new media to edit  pesan with invalid
MEDIA_PREV_INVALID	 previous media tidak bisa be edited dengannything else
MEDIA_TTL_INVALID	 media ttl invalid
MEDIA_TYPE_INVALID	 Spesifik media type tidak bisa digunakan in stories.
MEDIA_VIDEO_STORY_MISSING	 media does not have a photo or a video
MEGAGROUP_GEO_REQUIRED	Method ini hanya bisa invoked on a geogroup.
MEGAGROUP_ID_INVALID	 supergroup invalid
MEGAGROUP_PREHISTORY_HIDDEN	 aksi gagal karena  supergroup has  pre-history hidden
MEGAGROUP_REQUIRED	 request hanya bisa used dengan supergroup
MESSAGE_EDIT_TIME_EXPIRED	Kamu can tidak edit this pesan karena too much time has passed
MESSAGE_EMPTY	 pesan yang dikirim kosong atau invalid characters
MESSAGE_IDS_EMPTY	 requested pesan tidak exist or Kamu  no pesan id
MESSAGE_ID_INVALID	 pesan id invalid
MESSAGE_NOT_MODIFIED	 pesan tidak dimodifikasi karena Kamu mencoba to edit it using  konten yang sama
MESSAGE_POLL_CLOSED	Kamu tidak bisa interact dengan closed poll
MESSAGE_TOO_LONG	 pesan text terlalu panjang
METHOD_INVALID	 API method invalid dan tidak bisa digunakan
MIN_DATE_INVALID	 Spesifik minimum date invalid
MSG_ID_INVALID	 pesan ID used in  peer was invalid
MSG_TOO_OLD	chat_read_mark_expire_period have passed since  pesan was sent, read receipts were deleted
MSG_VOICE_MISSING	 pesan does not contain a voice message
MSG_WAIT_FAILED	A waiting call returned an error
MULTI_MEDIA_TOO_LONG	 album/media group contains terlalu banyak items
NEW_SALT_INVALID	 new salt invalid
NEW_SETTINGS_EMPTY	No password is set on  current account, dan no new password was Spesifik in `new_settings`
NEW_SETTINGS_INVALID	 new settings are invalid
NEXT_OFFSET_INVALID	 next offset value invalid
NOGENERAL_HIDE_FORBIDDEN	 hidden parameter is only valid for  General topic message_thread_id=1
OFFSET_INVALID	 offset parameter invalid
OFFSET_PEER_ID_INVALID	  offset peer invalid
OPTIONS_TOO_MUCH	 poll options are terlalu banyak
OPTION_INVALID	 option Spesifik invalid dan does not exist in  target poll
ORDER_INVALID	 Spesifik username order invalid.
PACK_SHORT_NAME_INVALID	Invalid sticker pack name. It must begin dengan letter, tidak bisa contain consecutive underscores dan must end in '_by_<bot username>'.
PACK_SHORT_NAME_OCCUPIED	A sticker pack with this name already exists
PACK_TITLE_INVALID	 sticker pack title invalid
PARTICIPANTS_TOO_FEW	 chat tidak mempunyai cukup participants
PARTICIPANT_ID_INVALID	 Spesifik participant ID invalid
PARTICIPANT_JOIN_MISSING	mencoba untuk mengaktifkan a presentation, when  user hasn't bergabung  Video Chat with phone.joinGroupCall
PARTICIPANT_VERSION_OUTDATED	 or participant is using an outdated Telegram app version
PASSWORD_EMPTY	 password  kosong
PASSWORD_HASH_INVALID	 two-step verification password invalid
PASSWORD_MISSING	 account tidak ada  two-step verification password
PASSWORD_RECOVERY_EXPIRED	 recovery code has expired.
PASSWORD_RECOVERY_NA	 password recovery e-mail is bukanvailable
PASSWORD_REQUIRED	 two-step verification password is required for Method ini
PASSWORD_TOO_FRESH_X	 two-step verification password was added recently dan Kamu are required to wait {value} seconds
